mode,error_type,score,n_pairs,n_both_scored,pair_coverage,paired_accuracy,paired_tie_rate,neutral_auc,balanced_accuracy,false_support_rate,unverifiable_rate,target_component,target_component_n,target_component_original_mean,target_component_error_mean,target_component_delta
oracle,direction,diagnostic_score,200,200,1.0,0.99,0.01,0.995,0.995,0.0,0.0,temporal_support,200,1.0,0.71609375,0.28390625
oracle,entity,diagnostic_score,200,200,1.0,0.99,0.01,0.994625,0.995,0.0,0.0,entity_support,200,1.0,0.6275,0.3725
oracle,hallucination,diagnostic_score,200,200,1.0,0.895,0.105,0.9472375,0.9450000000000001,0.1,0.0,claim_support,200,0.98875,0.0978125,0.8909375
oracle,location,diagnostic_score,200,200,1.0,0.49,0.505,0.7437,0.745,0.5,0.0,location_support,200,0.98875,0.50375,0.485
oracle,no-change,diagnostic_score,200,200,1.0,0.99,0.01,0.995,0.995,0.0,0.0,temporal_support,200,1.0,0.005,0.995
oracle,omission,diagnostic_score,200,200,1.0,0.99,0.005,0.990025,0.995,0.0,0.0,atomic_fact_coverage,200,1.0,0.333333333333334,0.666666666666668
oracle,relation,diagnostic_score,200,200,1.0,0.99,0.01,0.995,0.995,0.0,0.0,relation_support,200,1.0,0.185,0.815
hybrid,direction,diagnostic_score,200,200,1.0,0.735,0.265,0.8675,0.86,0.0,0.0,temporal_support,200,0.960625,0.81953125,0.14109375
hybrid,entity,diagnostic_score,200,200,1.0,0.735,0.235,0.822875,0.86,0.0,0.0,entity_support,200,0.9775,0.7975,0.18
hybrid,hallucination,diagnostic_score,200,200,1.0,0.385,0.615,0.6875,0.6825,0.355,0.0,claim_support,200,0.80625,0.3978125,0.4084375
hybrid,location,diagnostic_score,200,200,1.0,0.41,0.52,0.67325,0.6699999999999999,0.38,0.0,location_support,200,0.72875,0.3890625,0.3396875
hybrid,no-change,diagnostic_score,200,198,0.99,0.7424242424242424,0.25757575757575757,0.866,0.86,0.0,0.01,temporal_support,198,0.9602272727272727,0.0,0.9602272727272727
hybrid,omission,diagnostic_score,200,200,1.0,0.73,0.12,0.742175,0.86,0.0,0.0,atomic_fact_coverage,200,1.0,0.333333333333334,0.666666666666668
hybrid,relation,diagnostic_score,200,200,1.0,0.735,0.265,0.8675,0.86,0.0,0.0,relation_support,200,0.8478125,0.3803125,0.4675
open_vocab,direction,diagnostic_score,200,200,1.0,0.665,0.335,0.8325,0.825,0.0,0.0,temporal_support,200,0.94390625,0.92296875,0.0209375
open_vocab,entity,diagnostic_score,200,200,1.0,0.66,0.245,0.742425,0.825,0.0,0.0,entity_support,200,0.9775,0.915,0.0625
open_vocab,hallucination,diagnostic_score,200,200,1.0,0.195,0.805,0.5956625,0.5925,0.465,0.0,claim_support,200,0.733125,0.53625,0.196875
open_vocab,location,diagnostic_score,200,200,1.0,0.14,0.735,0.5185,0.52,0.61,0.0,location_support,200,0.6575,0.6309375,0.0265625
open_vocab,no-change,diagnostic_score,200,197,0.985,0.6751269035532995,0.3248730964467005,0.829725,0.825,0.0,0.015,temporal_support,197,0.9462246192893401,0.0,0.9462246192893401
open_vocab,omission,diagnostic_score,200,200,1.0,0.655,0.15,0.68185,0.825,0.0,0.0,atomic_fact_coverage,200,1.0,0.333333333333334,0.666666666666668
open_vocab,relation,diagnostic_score,200,200,1.0,0.665,0.335,0.8325,0.825,0.0,0.0,relation_support,200,0.816875,0.765,0.051875
